,dentro,sexo,edad,especial
d-5-9-anos-1_femenino,,mujeres,de 5 a 9 años,
e-10-14-anos_masculino,,hombres,de 10 a 14 años,
e-10-14-anos-1_femenino,,mujeres,de 10 a 14 años,
f-15-19-anos_masculino,,hombres,de 15 a 19 años,
f-15-19-anos-1_femenino,,mujeres,de 15 a 19 años,
g-20-39-anos_masculino,,hombres,de 20 a 39 años,
g-20-39-anos-1_femenino,,mujeres,de 20 a 39 años,
h-40-49-anos_masculino,,hombres,de 40 a 49 años,
h-40-49-anos-1_femenino,,mujeres,de 40 a 49 años,
i-50-59-anos_masculino,,hombres,de 50 a 59 años,
i-50-59-anos-1_femenino,,mujeres,de 50 a 59 años,
j-60-anos-y-mas_masculino,,hombres,de 60 y más años,
j-60-anos-y-mas-1_femenino,,mujeres,de 60 y más años,
totales_dentro,dentro de establecimientos,,,total
totales-1_fuera,fuera de establecimientos,,,total
a-de-6-meses_masculino,,hombres,de 6 meses,
a-de-6-meses-1_femenino,,mujeres,,
b-6-m-a-menor-de-1-ano_masculino,,hombres,de 6 meses a 1 año,
b-6-m-a-menor-de-1-ano-1_femenino,,mujeres,de 6 meses a 1 año,
a-menor-de-6-meses-d_masculino,dentro de establecimientos,hombres,menores a 6 meses,
a-menor-de-6-meses-d-1_femenino,dentro de establecimientos,mujeres,menores a 6 meses,
a-menor-de-6-meses-f_masculino,fuera de establecimientos,hombres,menores a 6 meses,
a-menor-de-6-meses-f-1_femenino,fuera de establecimientos,mujeres,menores a 6 meses,
b-6-m-a-menor-de-1-ano-d_masculino,dentro de establecimientos,hombres,de 6 meses a 1 año,
b-6-m-a-menor-de-1-ano-d-1_femenino,dentro de establecimientos,mujeres,de 6 meses a 1 año,
b-6-m-a-menor-de-1-ano-f_masculino,fuera de establecimientos,hombres,de 6 meses a 1 año,
b-6-m-a-menor-de-1-ano-f-1_femenino,fuera de establecimientos,mujeres,de 6 meses a 1 año,
c-1-4-anos-d_masculino,dentro de establecimientos,hombres,de 1 a 4 años,
c-1-4-anos-d-1_femenino,dentro de establecimientos,mujeres,de 1 a 4 años,
c-1-4-anos-f_masculino,fuera de establecimientos,hombres,de 1 a 4 años,
c-1-4-anos-f-1_femenino,fuera de establecimientos,mujeres,de 1 a 4 años,
d-5-9-anos-d_masculino,dentro de establecimientos,hombres,de 5 a 9 años,
d-5-9-anos-d-1_femenino,dentro de establecimientos,mujeres,de 5 a 9 años,
d-5-9-anos-f_masculino,fuera de establecimientos,hombres,de 5 a 9 años,
d-5-9-anos-f-1_femenino,fuera de establecimientos,mujeres,de 5 a 9 años,
e-10-a-14-anos-d_masculino,dentro de establecimientos,hombres,de 10 a 14 años,
e-10-a-14-anos-d-1_femenino,dentro de establecimientos,mujeres,de 10 a 14 años,
e-10-a-14-anos-f_masculino,fuera de establecimientos,hombres,de 10 a 14 años,
e-10-a-14-anos-f-1_femenino,fuera de establecimientos,mujeres,de 10 a 14 años,
f-15-19-anos-d_masculino,dentro de establecimientos,hombres,de 15 a 19 años,
f-15-19-anos-d-1_femenino,dentro de establecimientos,mujeres,de 15 a 19 años,
f-15-19-anos-f_masculino,fuera de establecimientos,hombres,de 15 a 19 años,
f-15-19-anos-f-1_femenino,fuera de establecimientos,mujeres,de 15 a 19 años,
g-20-39-anos-d_masculino,dentro de establecimientos,hombres,de 20 a 39 años,
g-20-39-anos-d-1_femenino,dentro de establecimientos,mujeres,de 20 a 39 años,
g-20-39-anos-f_masculino,fuera de establecimientos,hombres,de 20 a 39 años,
g-20-39-anos-f-1_femenino,fuera de establecimientos,mujeres,de 20 a 39 años,
h-40-49-anos-d_masculino,dentro de establecimientos,hombres,de 40 a 49 años,
h-40-49-anos-d-1_femenino,dentro de establecimientos,mujeres,de 40 a 49 años,
h-40-49-anos-f_masculino,fuera de establecimientos,hombres,de 40 a 49 años,
h-40-49-anos-f-1_femenino,fuera de establecimientos,mujeres,de 40 a 49 años,
i-50-59-anos-d_masculino,dentro de establecimientos,hombres,de 50 a 59 años,
i-50-59-anos-d-1_femenino,dentro de establecimientos,mujeres,de 50 a 59 años,
i-50-59-anos-f_masculino,fuera de establecimientos,hombres,de 50 a 59 años,
i-50-59-anos-f-1_femenino,fuera de establecimientos,mujeres,de 50 a 59 años,
j-60-anos-y-mas-d_masculino,dentro de establecimientos,hombres,de 60 y más años,
j-60-anos-y-mas-d-1_femenino,dentro de establecimientos,mujeres,de 60 y más años,
j-60-anos-y-mas-f_masculino,fuera de establecimientos,hombres,de 60 y más años,
j-60-anos-y-mas-f-1_femenino,fuera de establecimientos,mujeres,de 60 y más años,
f-15-19-anos-f-2_masculino-1,fuera de establecimientos,hombres,de 15 a 19 años,
f-15-19-anos-f-3_femenino-1,fuera de establecimientos,mujeres,de 15 a 19 años,
10-14-anos_dentro,dentro de establecimientos,,de 10 a 14 años,
10-14-anos-1_fuera,fuera de establecimientos,,de 10 a 14 años,
15-19-anos_dentro,dentro de establecimientos,,de 15 a 19 años,
15-19-anos-1_fuera,fuera de establecimientos,,de 15 a 19 años,
20-39-anos_dentro,dentro de establecimientos,,de 20 a 39 años,
20-39-anos-1_fuera,fuera de establecimientos,,de 20 a 39 años,
40-49-anos_dentro,dentro de establecimientos,,de 40 a 49 años,
40-49-anos-1_fuera,fuera de establecimientos,,de 40 a 49 años,
50-59-anos_dentro,dentro de establecimientos,,de 50 a 59 años,
50-59-anos-1_fuera,fuera de establecimientos,,de 50 a 59 años,
totales_total-dentro,dentro de establecimientos,,,total
totales-1_total-fuera,fuera de establecimientos,,,total
