codigo_municipio,municipio,grupo,variable,mes,10-14-anos_dentro,10-14-anos-1_fuera,15-19-anos_dentro,15-19-anos-1_fuera,20-39-anos_dentro,20-39-anos-1_fuera,40-49-anos_dentro,40-49-anos-1_fuera,50-59-anos_dentro,50-59-anos-1_fuera,totales_total-dentro,totales-1_total-fuera,totales-2_total
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
31003,VILLA TUNARI,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
50702,CARIPUYO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
31204,CHIMORE,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,1,0,0,0,0,0,0,0,1,1
20105,EL ALTO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,1,1,0,0,0,1,1,2
20901,LURIBAY,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
70301,SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
21101,CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,1,0,2,0,0,0,0,0,3,0,3
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
50101,POTOSI,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
20604,QUIABAYA,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,0,1,0,0,0,0,0,1,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,0,0,1,0,0,0,1,0,1
30101,COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,1,0,0,0,0,0,0,0,1,1
50601,COTAGAITA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
20101,LA PAZ,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,2,0,0,0,0,0,2,0,2
40101,ORURO,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,0,1,0,0,0,1,0,1
10101,SUCRE,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,1,0,0,0,0,0,1,0,1
50303,TACOBAMBA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
