codigo_municipio,municipio,grupo,variable,mes,totales_total-m,totales-1_total-f,totales-2_total
20901,LURIBAY,intoxicaciones,plaguicidas,2015-04-01,0,1,1
71001,MONTERO,intoxicaciones,plaguicidas,2015-04-01,2,0,2
21104,PALOS BLANCOS,intoxicaciones,plaguicidas,2015-04-01,0,2,2
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-04-01,1,0,1
31001,SACABA,intoxicaciones,plaguicidas,2015-04-01,1,3,4
80302,SAN BORJA,intoxicaciones,plaguicidas,2015-04-01,0,1,1
70301,SAN IGNACIO DE VELASCO,intoxicaciones,plaguicidas,2015-04-01,1,0,1
10702,SAN LUCAS,intoxicaciones,plaguicidas,2015-04-01,1,0,1
71005,SAN PEDRO,intoxicaciones,plaguicidas,2015-04-01,1,0,1
70101,SANTA CRUZ DE LA SIERRA,intoxicaciones,plaguicidas,2015-04-01,1,2,3
21301,SICA SICA (VILLA AROMA),intoxicaciones,plaguicidas,2015-04-01,1,1,2
10101,SUCRE,intoxicaciones,plaguicidas,2015-04-01,0,3,3
31101,TAPACARI,intoxicaciones,plaguicidas,2015-04-01,1,0,1
60101,TARIJA,intoxicaciones,plaguicidas,2015-04-01,5,5,10
31601,TIRAQUE (CBBA),intoxicaciones,plaguicidas,2015-04-01,1,0,1
31003,VILLA TUNARI,intoxicaciones,plaguicidas,2015-04-01,8,1,9
51501,VILLAZON,intoxicaciones,plaguicidas,2015-04-01,0,1,1
51302,ACACIO,intoxicaciones,plaguicidas,2015-05-01,3,0,3
21203,BATALLAS,intoxicaciones,plaguicidas,2015-05-01,1,0,1
60202,BERMEJO,intoxicaciones,plaguicidas,2015-05-01,1,0,1
31501,BOLIVAR,intoxicaciones,plaguicidas,2015-05-01,0,1,1
21304,CALAMARCA,intoxicaciones,plaguicidas,2015-05-01,0,1,1
70706,CAMIRI,intoxicaciones,plaguicidas,2015-05-01,1,0,1
22001,CARANAVI,intoxicaciones,plaguicidas,2015-05-01,1,1,2
30101,COCHABAMBA,intoxicaciones,plaguicidas,2015-05-01,9,12,21
31002,COLOMI,intoxicaciones,plaguicidas,2015-05-01,0,1,1
21401,COROICO,intoxicaciones,plaguicidas,2015-05-01,1,1,2
20105,EL ALTO,intoxicaciones,plaguicidas,2015-05-01,0,6,6
70105,EL TORNO,intoxicaciones,plaguicidas,2015-05-01,0,1,1
70903,MAIRANA,intoxicaciones,plaguicidas,2015-05-01,1,0,1
20607,MAPIRI,intoxicaciones,plaguicidas,2015-05-01,0,1,1
21104,PALOS BLANCOS,intoxicaciones,plaguicidas,2015-05-01,0,1,1
31205,PUERTO VILLARROEL,intoxicaciones,plaguicidas,2015-05-01,4,3,7
