codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 9 años,de 10 a 20 años,de 21 a 59 años,de 60 y más años,total
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-02-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-03-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-03-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
60201,PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,5.0,0.0,5.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,2.0,1.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-04-01,0.0,0.0,0.0,0.0,9.0,0.0,9.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-05-01,0.0,0.0,1.0,1.0,1.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-05-01,0.0,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-06-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60201,PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-07-01,0.0,0.0,0.0,0.0,6.0,0.0,6.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-08-01,0.0,0.0,0.0,0.0,4.0,0.0,4.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-08-01,0.0,0.0,0.0,0.0,3.0,0.0,3.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60201,PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,0.0,1.0,2.0,0.0,3.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-09-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60201,PADCAYA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-10-01,0.0,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,1.0,1.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2009-11-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0
