codigo_municipio,municipio,grupo,variable,mes,hombres cantidad,mujeres cantidad,hombres total,mujeres total,total
50201,UNCIA,mortalidad institucional,muerte materna,2004-03-01,0,1,0,1,1
21203,BATALLAS,mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
50901,"COLCHA ""K""",mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
21701,COPACABANA,mortalidad institucional,muerte materna,2004-04-01,1,0,1,0,1
40301,CORQUE,mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
50601,COTAGAITA,mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-04-01,1,0,1,0,1
10304,ICLA,mortalidad institucional,muerte materna,2004-04-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-04-01,2,0,2,0,2
60101,TARIJA,mortalidad institucional,muerte materna,2004-04-01,1,0,1,0,1
80101,TRINIDAD,mortalidad institucional,muerte materna,2004-04-01,1,0,1,0,1
11001,VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
70403,YAPACANI,mortalidad institucional,muerte materna,2004-04-01,0,1,0,1,1
20502,AYATA,mortalidad institucional,muerte materna,2004-05-01,0,2,0,2,2
90101,COBIJA,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
70705,GUTIERREZ,mortalidad institucional,muerte materna,2004-05-01,0,1,0,1,1
10304,ICLA,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
20101,LA PAZ,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
51101,PUNA,mortalidad institucional,muerte materna,2004-05-01,0,1,0,1,1
80201,RIBERALTA,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
80302,SAN BORJA,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
50501,SAN PEDRO DE BUENA VISTA,mortalidad institucional,muerte materna,2004-05-01,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-05-01,2,0,2,0,2
60101,TARIJA,mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
50201,UNCIA,mortalidad institucional,muerte materna,2004-05-01,0,1,0,1,1
11001,VILLA VACA GUZMAN (MUYUPAMPA),mortalidad institucional,muerte materna,2004-05-01,1,0,1,0,1
50301,BETANZOS,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
51102,"CAIZA ""D""",mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
50302,CHAQUI,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
30101,COCHABAMBA,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
10902,CULPINA,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
10703,INCAHUASI,mortalidad institucional,muerte materna,2004-06-01,2,0,2,0,2
21104,PALOS BLANCOS,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
10103,POROMA,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
51101,PUNA,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
71104,SAN JULIAN,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-06-01,5,0,5,0,5
10101,SUCRE,mortalidad institucional,muerte materna,2004-06-01,0,1,0,1,1
60101,TARIJA,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
31003,VILLA TUNARI,mortalidad institucional,muerte materna,2004-06-01,1,0,1,0,1
20701,APOLO,mortalidad institucional,muerte materna,2004-07-01,0,1,0,1,1
90101,COBIJA,mortalidad institucional,muerte materna,2004-07-01,1,0,1,0,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-07-01,0,3,0,3,3
40101,ORURO,mortalidad institucional,muerte materna,2004-07-01,1,0,1,0,1
21305,PATACAMAYA,mortalidad institucional,muerte materna,2004-07-01,1,0,1,0,1
50701,SACACA,mortalidad institucional,muerte materna,2004-07-01,0,1,0,1,1
80302,SAN BORJA,mortalidad institucional,muerte materna,2004-07-01,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-07-01,4,0,4,0,4
10101,SUCRE,mortalidad institucional,muerte materna,2004-07-01,1,0,1,0,1
60101,TARIJA,mortalidad institucional,muerte materna,2004-07-01,2,1,2,1,3
50201,UNCIA,mortalidad institucional,muerte materna,2004-07-01,0,2,0,2,2
60301,YACUIBA,mortalidad institucional,muerte materna,2004-07-01,1,0,1,0,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-08-01,0,1,0,1,1
40101,ORURO,mortalidad institucional,muerte materna,2004-08-01,1,0,1,0,1
40602,PAZÑA,mortalidad institucional,muerte materna,2004-08-01,0,2,0,2,2
10103,POROMA,mortalidad institucional,muerte materna,2004-08-01,1,0,1,0,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-08-01,3,0,3,0,3
10101,SUCRE,mortalidad institucional,muerte materna,2004-08-01,0,1,0,1,1
50102,TINGUIPAYA,mortalidad institucional,muerte materna,2004-08-01,0,1,0,1,1
50801,TUPIZA,mortalidad institucional,muerte materna,2004-08-01,1,0,1,0,1
51501,VILLAZON,mortalidad institucional,muerte materna,2004-08-01,0,1,0,1,1
20201,ACHACACHI,mortalidad institucional,muerte materna,2004-09-01,0,2,0,2,2
50104,BELEN DE URMIRI,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
50202,CHAYANTA,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
71101,CONCEPCION,mortalidad institucional,muerte materna,2004-09-01,1,0,1,0,1
80202,GUAYARAMERIN,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
10601,TARABUCO,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
60101,TARIJA,mortalidad institucional,muerte materna,2004-09-01,1,0,1,0,1
10202,TARVITA,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
50801,TUPIZA,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
60303,VILLA MONTES,mortalidad institucional,muerte materna,2004-09-01,1,1,1,1,2
10801,VILLA SERRANO,mortalidad institucional,muerte materna,2004-09-01,0,1,0,1,1
41201,ANDAMARCA,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
50301,BETANZOS,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
20501,CHUMA,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
21601,GRAL. J.J. PEREZ (CHARAZANI),mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
20101,LA PAZ,mortalidad institucional,muerte materna,2004-10-01,5,0,5,0,5
50402,RAVELO,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
10702,SAN LUCAS,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-10-01,1,0,1,0,1
31101,TAPACARI,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
10801,VILLA SERRANO,mortalidad institucional,muerte materna,2004-10-01,0,1,0,1,1
51302,ACACIO,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-11-01,1,0,1,0,1
10502,HUACARETA,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
21305,PATACAMAYA,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
10103,POROMA,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
70103,PORONGO,mortalidad institucional,muerte materna,2004-11-01,1,0,1,0,1
10302,PRESTO,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
31001,SACABA,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
70101,SANTA CRUZ DE LA SIERRA,mortalidad institucional,muerte materna,2004-11-01,2,0,2,0,2
10601,TARABUCO,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
10202,TARVITA,mortalidad institucional,muerte materna,2004-11-01,0,1,0,1,1
50201,UNCIA,mortalidad institucional,muerte materna,2004-11-01,0,2,0,2,2
41201,ANDAMARCA,mortalidad institucional,muerte materna,2004-12-01,0,1,0,1,1
50401,COLQUECHACA,mortalidad institucional,muerte materna,2004-12-01,0,1,0,1,1
20105,EL ALTO,mortalidad institucional,muerte materna,2004-12-01,2,0,2,0,2
20101,LA PAZ,mortalidad institucional,muerte materna,2004-12-01,1,0,1,0,1
71201,SAN MATIAS,mortalidad institucional,muerte materna,2004-12-01,1,0,1,0,1
80101,TRINIDAD,mortalidad institucional,muerte materna,2004-12-01,1,0,1,0,1
