codigo_municipio,municipio,grupo,variable,mes,< de 1 año,1 a 4 años,5 a 9 años,10 a 20 años,21 a 59 años,60 y más,TOTAL
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2012-12-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-01-01,6.0,0.0,0.0,0.0,0.0,0.0,6.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,tos ferina,2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-02-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-02-01,3.0,0.0,0.0,0.0,0.0,0.0,3.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-02-01,6.0,0.0,0.0,0.0,0.0,0.0,6.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-03-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-03-01,9.0,2.0,0.0,0.0,0.0,0.0,11.0
60101,TARIJA,sospecha diagnostica,tos ferina,2013-03-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
80101,TRINIDAD,sospecha diagnostica,tos ferina,2013-03-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
60202,BERMEJO,sospecha diagnostica,tos ferina,2013-04-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-04-01,3.0,6.0,0.0,0.0,0.0,0.0,9.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-04-01,0.0,3.0,0.0,0.0,0.0,0.0,3.0
50101,POTOSI,sospecha diagnostica,tos ferina,2013-04-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30901,QUILLACOLLO,sospecha diagnostica,tos ferina,2013-04-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80201,RIBERALTA,sospecha diagnostica,tos ferina,2013-04-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31001,SACABA,sospecha diagnostica,tos ferina,2013-04-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-04-01,7.0,0.0,0.0,0.0,0.0,0.0,7.0
60101,TARIJA,sospecha diagnostica,tos ferina,2013-04-01,8.0,0.0,0.0,0.0,0.0,0.0,8.0
60401,URIONDO (A. CONCEPCION),sospecha diagnostica,tos ferina,2013-04-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
30904,VINTO,sospecha diagnostica,tos ferina,2013-04-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-05-01,0.0,3.0,0.0,0.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-05-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
60501,SAN LORENZO(TJA),sospecha diagnostica,tos ferina,2013-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-05-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-05-01,0.0,1.0,0.0,1.0,0.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,tos ferina,2013-05-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-06-01,0.0,2.0,0.0,0.0,0.0,0.0,2.0
70105,EL TORNO,sospecha diagnostica,tos ferina,2013-06-01,0.0,0.0,2.0,0.0,0.0,0.0,2.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-06-01,3.0,0.0,0.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-06-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-06-01,5.0,0.0,0.0,0.0,0.0,0.0,5.0
30904,VINTO,sospecha diagnostica,tos ferina,2013-06-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-07-01,1.0,5.0,0.0,0.0,0.0,0.0,6.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-07-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
70105,EL TORNO,sospecha diagnostica,tos ferina,2013-07-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-07-01,2.0,2.0,0.0,0.0,0.0,0.0,4.0
71001,MONTERO,sospecha diagnostica,tos ferina,2013-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50101,POTOSI,sospecha diagnostica,tos ferina,2013-07-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-07-01,4.0,3.0,0.0,0.0,0.0,0.0,7.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-07-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-08-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-08-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
50101,POTOSI,sospecha diagnostica,tos ferina,2013-08-01,2.0,1.0,0.0,0.0,1.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-08-01,5.0,0.0,0.0,0.0,0.0,0.0,5.0
30902,SIPE SIPE,sospecha diagnostica,tos ferina,2013-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-08-01,4.0,2.0,0.0,0.0,0.0,0.0,6.0
60101,TARIJA,sospecha diagnostica,tos ferina,2013-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60303,VILLA MONTES,sospecha diagnostica,tos ferina,2013-08-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-09-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-09-01,3.0,0.0,0.0,1.0,0.0,0.0,4.0
70105,EL TORNO,sospecha diagnostica,tos ferina,2013-09-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-09-01,2.0,0.0,1.0,0.0,0.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-09-01,2.0,3.0,0.0,0.0,0.0,0.0,5.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-09-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
31003,VILLA TUNARI,sospecha diagnostica,tos ferina,2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-10-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-10-01,7.0,0.0,0.0,0.0,1.0,0.0,8.0
70105,EL TORNO,sospecha diagnostica,tos ferina,2013-10-01,3.0,0.0,0.0,0.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-10-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
40101,ORURO,sospecha diagnostica,tos ferina,2013-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
71401,PUERTO SUAREZ,sospecha diagnostica,tos ferina,2013-10-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-10-01,1.0,2.0,0.0,0.0,0.0,0.0,3.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-10-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-11-01,2.0,0.0,0.0,0.0,0.0,0.0,2.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-11-01,1.0,2.0,0.0,0.0,1.0,0.0,4.0
70105,EL TORNO,sospecha diagnostica,tos ferina,2013-11-01,2.0,1.0,0.0,1.0,0.0,0.0,4.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-11-01,1.0,0.0,1.0,0.0,0.0,0.0,2.0
50101,POTOSI,sospecha diagnostica,tos ferina,2013-11-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-11-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-11-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
31201,TOTORA(CBBA),sospecha diagnostica,tos ferina,2013-11-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
80101,TRINIDAD,sospecha diagnostica,tos ferina,2013-11-01,0.0,1.0,0.0,0.0,0.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2013-12-01,4.0,0.0,0.0,0.0,0.0,0.0,4.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2013-12-01,2.0,1.0,0.0,0.0,0.0,0.0,3.0
20101,LA PAZ,sospecha diagnostica,tos ferina,2013-12-01,1.0,1.0,0.0,0.0,0.0,0.0,2.0
10501,MONTEAGUDO,sospecha diagnostica,tos ferina,2013-12-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,tos ferina,2013-12-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
10101,SUCRE,sospecha diagnostica,tos ferina,2013-12-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,tos ferina,2013-12-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
60303,VILLA MONTES,sospecha diagnostica,tos ferina,2013-12-01,0.0,0.0,1.0,2.0,0.0,0.0,3.0
31303,ALALAY,sospecha diagnostica,tos ferina,2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30101,COCHABAMBA,sospecha diagnostica,tos ferina,2014-01-01,4.0,1.0,1.0,0.0,0.0,0.0,6.0
20105,EL ALTO,sospecha diagnostica,tos ferina,2014-01-01,1.0,0.0,0.0,0.0,0.0,0.0,1.0
